File,IPC,Accuracy,MPKI
results_10M/403.gcc-16B.champsimtrace.xz-bimodal-no-no-no-no-ship-1core.txt,1.1672,99.5671%,0.8526
results_10M/403.gcc-16B.champsimtrace.xz-bimodal-no-no-no-no-srrip-1core.txt,1.16772,99.5671%,0.8526
results_10M/403.gcc-16B.champsimtrace.xz-gshare-no-no-no-no-drrip-1core.txt,1.17249,99.7002%,0.5905
results_10M/403.gcc-16B.champsimtrace.xz-gshare-no-no-no-no-lru-1core.txt,1.1738,99.7002%,0.5905
results_10M/403.gcc-16B.champsimtrace.xz-gshare-no-no-no-no-mru-1core.txt,1.17237,99.7002%,0.5905
results_10M/403.gcc-16B.champsimtrace.xz-gshare-no-no-no-no-random-1core.txt,1.16243,99.7002%,0.5905
results_10M/403.gcc-16B.champsimtrace.xz-gshare-no-no-no-no-ship-1core.txt,1.17432,99.7002%,0.5905
results_10M/403.gcc-16B.champsimtrace.xz-gshare-no-no-no-no-srrip-1core.txt,1.17357,99.7002%,0.5905
results_10M/403.gcc-16B.champsimtrace.xz-hashed_perceptron-no-no-no-no-drrip-1core.txt,1.18811,99.8932%,0.2104
results_10M/403.gcc-16B.champsimtrace.xz-hashed_perceptron-no-no-no-no-lru-1core.txt,1.18861,99.8932%,0.2104
results_10M/403.gcc-16B.champsimtrace.xz-hashed_perceptron-no-no-no-no-mru-1core.txt,1.18722,99.8932%,0.2104
results_10M/403.gcc-16B.champsimtrace.xz-hashed_perceptron-no-no-no-no-random-1core.txt,1.17713,99.8932%,0.2104
results_10M/403.gcc-16B.champsimtrace.xz-hashed_perceptron-no-no-no-no-ship-1core.txt,1.18771,99.8932%,0.2104
results_10M/403.gcc-16B.champsimtrace.xz-hashed_perceptron-no-no-no-no-srrip-1core.txt,1.18836,99.8932%,0.2104
results_10M/403.gcc-16B.champsimtrace.xz-modified_bullseye-no-no-no-no-drrip-1core.txt,1.1694,99.6552%,0.679
results_10M/403.gcc-16B.champsimtrace.xz-modified_bullseye-no-no-no-no-lru-1core.txt,1.17116,99.6552%,0.679
results_10M/403.gcc-16B.champsimtrace.xz-modified_bullseye-no-no-no-no-mru-1core.txt,1.16974,99.6552%,0.679
results_10M/403.gcc-16B.champsimtrace.xz-modified_bullseye-no-no-no-no-random-1core.txt,1.16031,99.6552%,0.679
results_10M/403.gcc-16B.champsimtrace.xz-modified_bullseye-no-no-no-no-ship-1core.txt,1.17001,99.6552%,0.679
results_10M/403.gcc-16B.champsimtrace.xz-modified_bullseye-no-no-no-no-srrip-1core.txt,1.17094,99.6552%,0.679
results_10M/403.gcc-16B.champsimtrace.xz-perceptron-no-no-no-no-drrip-1core.txt,1.17429,99.7009%,0.5891
results_10M/403.gcc-16B.champsimtrace.xz-perceptron-no-no-no-no-lru-1core.txt,1.17555,99.7009%,0.5891
results_10M/403.gcc-16B.champsimtrace.xz-perceptron-no-no-no-no-mru-1core.txt,1.1742,99.7009%,0.5891
results_10M/403.gcc-16B.champsimtrace.xz-perceptron-no-no-no-no-random-1core.txt,1.16484,99.7009%,0.5891
results_10M/403.gcc-16B.champsimtrace.xz-perceptron-no-no-no-no-ship-1core.txt,1.17492,99.7009%,0.5891
results_10M/403.gcc-16B.champsimtrace.xz-perceptron-no-no-no-no-srrip-1core.txt,1.17532,99.7009%,0.5891
results_10M/462.libquantum-1343B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-drrip-1core.txt,0.548004,98.471%,2.7647
results_10M/462.libquantum-1343B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-lru-1core.txt,0.548069,98.471%,2.7647
results_10M/462.libquantum-1343B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-mru-1core.txt,0.5522,98.471%,2.7647
results_10M/462.libquantum-1343B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-random-1core.txt,0.53845,98.471%,2.7647
results_10M/462.libquantum-1343B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-ship-1core.txt,0.572039,98.471%,2.7647
results_10M/462.libquantum-1343B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-srrip-1core.txt,0.545601,98.471%,2.7647
results_10M/462.libquantum-1343B.champsimtrace.xz-bimodal-no-no-no-no-drrip-1core.txt,0.545017,98.4704%,2.7658
